concept,supersense,zipf,conc,aoa,polysemy,n_tokens
gumdrop,noun.food,1.82,4.9,5.53,1,2
albacore,noun.food,2.23,3.71,14.47,2,3
lentil,noun.food,2.66,4.48,13.06,3,2
ricotta,noun.food,2.68,4.86,12.67,1,2
icecream,noun.food,2.53,4.72,3.33367,1,2
shortbread,noun.food,2.52,4.56,8.78,1,2
risotto,noun.food,2.87,4.36,16.0,1,2
mozzarella,noun.food,3.1,4.89,8.44,1,2
marmalade,noun.food,2.89,4.83,10.39,1,4
brie,noun.food,3.08,4.28,12.69,1,2
pita,noun.food,3.0,4.29,12.0,1,2
carp,noun.food,3.18,4.62,11.42,2,1
octopus,noun.food,3.46,5.0,6.26,2,2
vinegar,noun.food,3.64,4.89,7.11,2,1
pancake,noun.food,3.35,4.86,4.26,1,2
gin,noun.food,3.68,4.46,12.06,4,1
chilly,noun.food,3.5,3.56,6.39,1,1
dessert,noun.food,3.83,4.93,5.61,1,1
hay,noun.food,3.91,4.87,5.32,1,1
pie,noun.food,4.19,4.92,3.67,2,1
trout,noun.food,3.78,4.72,8.56,2,1
sugar,noun.food,4.68,4.87,3.95,3,1
thicket,noun.group,2.69,4.26,7.89,1,2
quartette,noun.group,1.59,3.87,10.88,4,2
masquerade,noun.group,3.05,3.35,11.83,3,3
airforce,noun.group,2.76,3.81,6.83,1,2
feudalism,noun.group,2.78,2.08,12.8,1,2
assortment,noun.group,3.26,2.5,8.72,2,1
gymnasium,noun.group,3.19,4.81,6.63,2,3
botany,noun.group,3.38,2.97,12.68,2,2
mixer,noun.group,3.5,4.33,7.05,4,1
armada,noun.group,3.12,4.04,13.53,1,2
knot,noun.group,3.72,4.87,6.05,7,1
turnout,noun.group,3.68,3.07,10.95,7,1
judiciary,noun.group,3.86,2.33,12.65,2,1
dictatorship,noun.group,3.64,2.77,11.72,1,1
convoy,noun.group,3.71,3.54,12.28,3,1
crowd,noun.group,4.7,4.52,7.14,2,1
parade,noun.group,4.16,4.54,6.53,3,1
forum,noun.group,4.38,4.0,12.52,2,1
institution,noun.group,4.41,3.33,10.05,5,1
bureau,noun.group,4.41,4.04,11.95,2,1
line,noun.group,5.49,4.5,4.85,30,1
military,noun.group,5.2,4.0,8.2,1,1
union,noun.group,5.08,3.38,9.39,11,1
table,noun.group,5.05,4.9,4.39,6,1
country,noun.group,5.48,4.17,7.05,5,1
pastureland,noun.location,1.95,4.73,9.11,1,2
fairway,noun.location,2.93,4.21,10.72,3,2
midair,noun.location,2.7,3.32,9.21,1,2
minefield,noun.location,2.92,4.43,9.53,1,2
panhandle,noun.location,2.88,3.75,11.82,2,2
sprawl,noun.location,2.99,3.3,9.6,2,2
equator,noun.location,3.26,3.85,8.59,2,2
sideline,noun.location,3.32,3.93,8.32,3,1
itinerary,noun.location,3.23,3.93,11.84,3,1
armageddon,noun.location,3.11,2.9,11.83,2,3
surround,noun.location,3.79,2.81,8.05,1,1
tract,noun.location,3.71,3.46,13.67,4,1
checkpoint,noun.location,3.39,3.62,13.0,1,1
playground,noun.location,3.79,4.77,4.28,2,1
landmark,noun.location,3.89,4.1,9.61,4,1
desert,noun.location,4.4,4.86,8.35,1,1
residence,noun.location,4.36,4.34,9.11,4,1
campus,noun.location,4.51,4.64,10.84,1,1
rough,noun.location,4.49,3.83,6.21,1,1
mansion,noun.location,4.02,4.89,7.2,2,1
front,noun.location,5.28,3.77,5.187988000000001,10,1
town,noun.location,5.24,4.64,5.11,4,1
center,noun.location,5.19,3.85,6.57,18,1
see,noun.location,6.1,3.21,3.06,1,1
seat,noun.location,4.82,4.78,4.58,9,1
defile,noun.object,2.65,2.43,12.5,1,2
swampland,noun.object,2.01,4.32,8.17,1,4
hairball,noun.object,2.07,4.79,8.33,1,2
suds,noun.object,2.56,4.59,6.79,2,2
overburden,noun.object,2.26,2.62,11.89,2,3
skim,noun.object,3.17,3.76,8.84,2,1
beachfront,noun.object,2.77,4.46,9.25,1,2
wetland,noun.object,3.14,4.29,10.8,1,2
mountainside,noun.object,2.76,4.48,7.53,1,2
burrow,noun.object,3.1,3.67,8.45,1,2
cove,noun.object,3.64,4.57,9.63,2,2
cosmos,noun.object,3.51,3.19,10.65,2,1
pulp,noun.object,3.68,4.3,9.63,5,1
abyss,noun.object,3.4,3.07,11.0,1,1
trough,noun.object,3.43,4.17,8.41,6,1
cave,noun.object,4.2,4.96,6.74,1,1
volcano,noun.object,3.76,4.75,6.74,2,1
mainland,noun.object,3.95,4.31,11.63,1,1
electron,noun.object,3.82,2.96,12.4,1,1
variable,noun.object,4.12,2.24,10.47,4,1
essential,noun.object,4.61,1.52,10.28,1,1
earth,noun.object,5.06,4.8,5.37,7,1
remains,noun.object,4.8,3.46,7.873552000000001,2,1
creek,noun.object,4.37,4.87,5.89,2,1
star,noun.object,5.19,4.69,3.89,8,1
sentimentalist,noun.person,1.81,2.17,13.21,1,2
plagiarist,noun.person,1.87,3.35,13.06,1,2
rustler,noun.person,2.03,3.88,11.0,1,2
adventuress,noun.person,1.82,2.54,10.44,1,3
pilferer,noun.person,1.07,3.28,15.0,1,3
masochist,noun.person,2.44,2.73,15.88,1,3
melancholic,noun.person,2.75,1.89,12.94,1,2
gremlin,noun.person,2.63,4.04,8.4,1,2
worshipper,noun.person,2.45,3.39,7.79,2,2
runt,noun.person,2.47,3.44,8.39,1,2
beater,noun.person,3.09,3.62,7.95,2,2
warlock,noun.person,2.99,3.9,9.68,1,2
loyalist,noun.person,3.03,2.64,12.61,1,2
appraiser,noun.person,2.8,3.62,13.05,2,3
mobster,noun.person,2.83,4.13,10.0,1,2
assassin,noun.person,3.66,4.43,11.28,2,1
breeder,noun.person,3.35,3.13,11.53,1,2
mormon,noun.person,3.67,3.85,11.929252999999997,2,3
hitter,noun.person,3.5,3.96,7.39,2,1
teller,noun.person,3.49,4.38,9.9,4,2
hostage,noun.person,3.9,4.26,9.89,1,1
darling,noun.person,4.09,2.54,5.79,2,1
familiar,noun.person,4.61,2.03,7.21,3,1
loser,noun.person,4.01,2.35,6.67,3,1
princess,noun.person,4.53,4.72,3.95,1,1
sunray,noun.phenomenon,2.02,4.23,7.61,3,2
phosphorescence,noun.phenomenon,1.88,2.79,14.11,1,3
hailstorm,noun.phenomenon,2.31,4.66,8.16,1,2
superconductivity,noun.phenomenon,2.48,2.64,13.83,1,3
aftereffect,noun.phenomenon,1.67,2.5,12.06,2,2
sunburst,noun.phenomenon,2.56,3.84,10.95,3,2
sleet,noun.phenomenon,2.83,4.78,11.72,1,2
squall,noun.phenomenon,2.67,3.04,11.59,1,2
sedimentation,noun.phenomenon,2.66,3.8,12.8,1,2
outgrowth,noun.phenomenon,2.64,3.46,11.47,3,2
whirlwind,noun.phenomenon,3.24,4.07,10.5,1,2
whiff,noun.phenomenon,3.22,2.77,9.67,3,2
magnetism,noun.phenomenon,3.03,2.54,10.94,2,2
thunderbolt,noun.phenomenon,3.09,4.28,6.65,2,2
byproduct,noun.phenomenon,3.03,3.16,13.31,2,2
bolt,noun.phenomenon,4.04,4.67,7.28,7,1
consequence,noun.phenomenon,4.07,2.64,6.72,3,1
thermal,noun.phenomenon,4.04,3.21,11.05,1,1
moonlight,noun.phenomenon,3.61,4.43,5.5,1,2
drift,noun.phenomenon,3.82,3.07,8.89,7,1
hurricane,noun.phenomenon,4.1,4.59,7.35,1,1
arc,noun.phenomenon,4.21,4.14,9.418817,3,1
ray,noun.phenomenon,4.69,3.57,6.733253000000001,7,1
storm,noun.phenomenon,4.66,4.7,4.94,3,1
rain,noun.phenomenon,4.71,4.97,3.6,3,1
pinwheel,noun.plant,2.29,4.66,7.63,4,2
shallot,noun.plant,2.36,4.59,14.79,3,2
arugula,noun.plant,2.46,4.08,16.75,1,3
snowdrop,noun.plant,2.22,4.5,7.47,1,2
crabgrass,noun.plant,1.88,4.52,10.83,1,2
dandelion,noun.plant,2.9,5.0,5.11,1,3
greenery,noun.plant,2.84,4.34,9.63,1,2
ganja,noun.plant,2.72,4.6,14.15,2,2
oregano,noun.plant,2.8,4.81,10.88,2,3
buttercup,noun.plant,2.79,4.71,6.9,1,2
succulent,noun.plant,3.0,2.75,12.32,1,2
paprika,noun.plant,2.96,5.0,9.63,2,2
