concept,source,n_words,zipf_head,zipf_min,conc,aoa,wn_senses,wn_depth,ev_frac_llama8b,val_r_llama8b,ev_frac_falcon3b,val_r_falcon3b
clam,wordnet_noun,1,3.22,3.22,4.89,7.37,4,10.0,,,,
clamber,wordnet_noun,1,2.22,2.22,,11.4,2,10.0,,,,
clamor,wordnet_noun,1,2.62,2.62,2.8,11.63,5,7.0,,,,
clamoring,wordnet_noun,1,2.8,2.8,,,4,6.0,,,,
clamour,wordnet_noun,1,2.6,2.6,,,3,6.0,,,,
clamouring,wordnet_noun,1,2.43,2.43,,,3,6.0,,,,
clamp,wordnet_noun,1,3.45,3.45,4.53,10.89,3,8.0,,,,
clampdown,wordnet_noun,1,2.19,2.19,3.12,13.0,1,9.0,,,,
clams,wordnet_noun,1,3.13,3.13,,,5,10.0,,,,
clamshell,wordnet_noun,1,2.32,2.32,4.82,8.11,2,10.0,,,,
clan,wordnet_noun,1,3.97,3.97,3.46,11.05,1,4.0,,,,
clang,wordnet_noun,1,2.63,2.63,3.96,9.53,2,7.0,,,,
clank,wordnet_noun,1,2.66,2.66,2.84,6.95,2,7.0,,,,
clap,wordnet_noun,1,3.54,3.54,4.16,3.4,10,13.0,,,,
clapboard,wordnet_noun,1,2.15,2.15,,11.39,2,7.0,,,,
clapper,wordnet_noun,1,2.92,2.92,3.92,9.25,3,10.0,,,,
clappers,wordnet_noun,1,2.01,2.01,,,4,10.0,,,,
clapping,wordnet_noun,1,3.36,3.36,4.32,,8,5.0,,,,
claptrap,wordnet_noun,1,2.22,2.22,,12.4,1,5.0,,,,
clarence,wordnet_noun,1,3.71,3.71,,,1,11.0,,,,
claret,wordnet_noun,1,2.75,2.75,,15.67,3,11.0,,,,
clarification,wordnet_noun,1,3.54,3.54,1.93,12.06,2,9.0,,,,
clarinet,wordnet_noun,1,3.12,3.12,4.92,9.22,1,12.0,,,,
clarinetist,wordnet_noun,1,2.02,2.02,4.42,,1,10.0,,,,
clarion,wordnet_noun,1,2.92,2.92,,15.5,4,10.0,,,,
clarity,wordnet_noun,1,3.9,3.9,2.0,10.55,2,5.0,,,,
claro,wordnet_noun,1,2.44,2.44,,,1,11.0,,,,
clary,wordnet_noun,1,2.78,2.78,,,1,10.0,,,,
clash,wordnet_noun,1,3.97,3.97,2.63,8.95,7,8.0,,,,
clasp,wordnet_noun,1,3.1,3.1,4.41,8.63,6,9.0,,,,
class,wordnet_noun,1,5.36,5.36,3.85,4.95,9,7.0,,,,
classic,wordnet_noun,1,4.72,4.72,2.0,8.42,5,9.0,,,,
classical,wordnet_noun,1,4.26,4.26,2.18,7.68,6,6.0,,,,
classicism,wordnet_noun,1,2.47,2.47,,,1,8.0,,,,
classicist,wordnet_noun,1,2.17,2.17,,13.23,2,10.0,,,,
classics,wordnet_noun,1,3.9,3.9,2.54,9.035165,3,9.0,,,,
classification,wordnet_noun,1,4.18,4.18,2.52,11.11,4,9.0,,,,
classified,wordnet_noun,1,4.26,4.26,2.21,11.58,6,7.0,,,,
classifier,wordnet_noun,1,2.66,2.66,2.66,,2,9.0,,,,
classmate,wordnet_noun,1,3.34,3.34,4.32,7.15,1,8.0,,,,
classroom,wordnet_noun,1,4.15,4.15,4.76,5.63,1,8.0,,,,
classwork,wordnet_noun,1,2.16,2.16,4.19,,1,10.0,,,,
clatter,wordnet_noun,1,2.65,2.65,3.19,8.74,2,7.0,,,,
clause,wordnet_noun,1,3.99,3.99,2.73,12.16,2,12.0,,,,
claustrophobia,wordnet_noun,1,2.56,2.56,2.52,10.28,1,11.0,,,,
clavicle,wordnet_noun,1,2.51,2.51,4.5,13.38,1,9.0,,,,
claw,wordnet_noun,1,3.59,3.59,4.83,4.7,8,10.0,,,,
clay,wordnet_noun,1,4.29,4.29,4.93,5.32,5,15.0,,,,
claymore,wordnet_noun,1,2.42,2.42,,,2,11.0,,,,
clean,wordnet_noun,1,4.97,4.97,3.07,3.89,31,12.0,,,,
cleaner,wordnet_noun,1,3.9,3.9,3.78,5.76,21,11.0,,,,
cleaners,wordnet_noun,1,3.46,3.46,,,4,11.0,,,,
cleaning,wordnet_noun,1,4.39,4.39,3.71,,11,9.0,,,,
cleanliness,wordnet_noun,1,3.26,3.26,2.63,7.63,2,10.0,,,,
cleanser,wordnet_noun,1,3.06,3.06,4.59,8.22,1,9.0,,,,
cleansing,wordnet_noun,1,3.56,3.56,2.75,9.11,5,9.0,,,,
cleanup,wordnet_noun,1,3.46,3.46,3.04,5.06,3,10.0,,,,
clear,wordnet_noun,1,5.25,5.25,3.55,5.8,45,6.0,,,,
clearance,wordnet_noun,1,3.96,3.96,2.19,8.95,3,10.0,,,,
clearing,wordnet_noun,1,4.04,4.04,3.79,,27,9.0,,,,
clearness,wordnet_noun,1,2.21,2.21,2.48,8.25,2,5.0,,,,
cleat,wordnet_noun,1,2.37,2.37,4.5,9.0,5,9.0,,,,
cleats,wordnet_noun,1,2.88,2.88,,,6,9.0,,,,
cleavage,wordnet_noun,1,3.4,3.4,4.64,12.95,5,10.0,,,,
cleaver,wordnet_noun,1,3.04,3.04,4.7,8.94,1,12.0,,,,
cleavers,wordnet_noun,1,2.07,2.07,4.56,,2,12.0,,,,
clef,wordnet_noun,1,2.45,2.45,4.35,12.56,1,7.0,,,,
cleft,wordnet_noun,1,2.94,2.94,4.31,11.83,6,7.0,,,,
clegg,wordnet_noun,1,3.23,3.23,,,1,13.0,,,,
clematis,wordnet_noun,1,2.38,2.38,,,1,10.0,,,,
clemency,wordnet_noun,1,2.97,2.97,,14.12,2,13.0,,,,
clementine,wordnet_noun,1,2.89,2.89,4.09,,2,14.0,,,,
clench,wordnet_noun,1,2.65,2.65,4.25,9.89,4,10.0,,,,
clerestory,wordnet_noun,1,2.0,2.0,,,1,9.0,,,,
clergy,wordnet_noun,1,3.74,3.74,4.03,10.15,1,8.0,,,,
clergyman,wordnet_noun,1,3.17,3.17,4.73,9.72,1,9.0,,,,
cleric,wordnet_noun,1,3.38,3.38,4.39,11.89,1,10.0,,,,
clerk,wordnet_noun,1,4.0,4.0,4.28,6.74,3,10.0,,,,
clerkship,wordnet_noun,1,2.31,2.31,2.41,14.12,1,8.0,,,,
cleverness,wordnet_noun,1,2.69,2.69,2.07,7.75,3,7.0,,,,
cliche,wordnet_noun,1,3.16,3.16,2.33,12.125695,1,7.0,,,,
click,wordnet_noun,1,4.82,4.82,4.03,6.94,11,9.0,,,,
client,wordnet_noun,1,4.54,4.54,3.9,12.05,3,9.0,,,,
clientele,wordnet_noun,1,3.22,3.22,3.31,14.12,1,4.0,,,,
cliff,wordnet_noun,1,4.1,4.1,4.71,7.27676,1,4.0,,,,
cliffhanger,wordnet_noun,1,2.84,2.84,2.92,9.61,2,8.0,,,,
climate,wordnet_noun,1,4.71,4.71,3.5,7.95,2,6.0,,,,
climatologist,wordnet_noun,1,2.06,2.06,,,1,8.0,,,,
climatology,wordnet_noun,1,2.38,2.38,2.52,,1,11.0,,,,
climax,wordnet_noun,1,3.6,3.6,2.86,10.79,6,11.0,,,,
climb,wordnet_noun,1,4.22,4.22,4.11,5.3,9,9.0,,,,
climber,wordnet_noun,1,3.17,3.17,4.5,8.05,5,10.0,,,,
climbing,wordnet_noun,1,4.12,4.12,4.07,,7,8.0,,,,
clinch,wordnet_noun,1,3.29,3.29,2.92,10.94,11,10.0,,,,
clincher,wordnet_noun,1,2.35,2.35,2.15,10.12,3,8.0,,,,
cling,wordnet_noun,1,3.49,3.49,3.59,7.74,4,10.0,,,,
clinic,wordnet_noun,1,4.21,4.21,4.24,9.37,3,8.0,,,,
clinician,wordnet_noun,1,2.98,2.98,4.12,13.35,1,10.0,,,,
clink,wordnet_noun,1,2.62,2.62,3.2,9.44,4,10.0,,,,
clinker,wordnet_noun,1,2.41,2.41,,11.43,4,8.0,,,,
clip,wordnet_noun,1,4.26,4.26,4.37,6.61,11,11.0,,,,
clipboard,wordnet_noun,1,2.89,2.89,4.93,7.76,1,8.0,,,,
clipper,wordnet_noun,1,3.06,3.06,4.3,9.56,4,13.0,,,,
clipping,wordnet_noun,1,3.19,3.19,4.0,8.89,8,11.0,,,,
clique,wordnet_noun,1,3.15,3.15,2.68,12.42,1,5.0,,,,
clit,wordnet_noun,1,3.1,3.1,,,1,7.0,,,,
clitoris,wordnet_noun,1,2.95,2.95,4.93,14.0,1,7.0,,,,
